Designator,Mid X,Mid Y,Rotation,Layer
C1,157.425,-94.975,90.0,top
C10,169.725,-101.725,0.0,top
C11,164.925,-110.65,270.0,top
C12,162.535,-110.65,270.0,top
C13,161.35,-110.65,270.0,top
C14,154.45,-104.35,180.0,top
C15,154.45,-103.35,180.0,top
C16,154.45,-100.175,0.0,top
C17,144.9125,-120.375,180.0,top
C18,142.0125,-119.97,90.0,top
C19,144.8125,-123.675,180.0,top
C2,160.175,-92.5,0.0,top
C20,155.475,-116.45,0.0,top
C21,146.6125,-106.575,90.0,top
C22,139.2375,-116.5,180.0,top
C23,139.2375,-118.15,180.0,top
C24,139.2375,-115.4,180.0,top
C25,139.2125,-120.35,180.0,top
C26,141.4625,-108.32,90.0,top
C27,155.375,-113.0,0.0,top
C28,145.1875,-106.58,90.0,top
C29,149.7625,-106.6,90.0,top
C3,162.9,-96.12,270.0,top
C30,155.4875,-117.8,0.0,top
C31,139.2125,-119.25,180.0,top
C32,145.775,-103.0,270.0,top
C33,148.75,-101.05,0.0,top
C34,174.87,-123.825,180.0,top
C35,174.895,-122.7,180.0,top
C36,174.895,-121.6,180.0,top
C37,177.4,-123.5,0.0,top
C38,177.4,-124.5,0.0,top
C39,179.475,-116.075,90.0,top
C4,163.9,-96.125,270.0,top
C40,180.625,-116.075,90.0,top
C41,160.975,-135.8,0.0,top
C42,162.575,-127.875,0.0,top
C43,179.875,-124.95,270.0,top
C44,178.775,-124.955,270.0,top
C45,174.425,-108.175,270.0,top
C46,174.025,-117.25,0.0,top
C47,169.125,-116.575,270.0,top
C48,173.15,-126.175,270.0,top
C49,181.675,-124.675,270.0,top
C5,164.9,-96.12,270.0,top
C6,166.35,-97.225,180.0,top
C7,166.35,-98.325,180.0,top
C8,167.625,-99.8,270.0,top
C9,169.725,-100.35,0.0,top
D1,137.325,-114.625,0.0,top
D2,157.0625,-133.3,180.0,top
D3,157.0875,-131.8,0.0,top
DP1,134.0,-109.65,0.0,top
DP2,141.9,-101.55,0.0,top
DP3,135.15,-123.125,0.0,top
DP4,138.15,-109.7,180.0,top
DP5,135.075,-130.275,0.0,top
IC1,162.25,-103.375,0.0,top
IC2,171.83,-107.38,270.0,top
IC3,171.9,-111.575,0.0,top
IC4,179.6,-128.325,0.0,top
J1,188.975,-128.375,0.0,top
J3,128.495,-111.005,0.0,top
J4,145.45,-139.875,0.0,top
L1,144.5125,-122.035,180.0,top
R1,157.475,-99.475,0.0,top
R10,166.3,-107.325,270.0,top
R11,172.65,-102.825,0.0,top
R12,136.85,-116.4,270.0,top
R13,149.125,-131.2,270.0,top
R14,143.225,-132.6,270.0,top
R2,163.73,-110.65,270.0,top
R3,142.0125,-122.035,90.0,top
R4,147.075,-122.1,270.0,top
R5,148.1625,-122.1,270.0,top
R6,155.4875,-118.9,180.0,top
R7,147.9125,-106.6,270.0,top
R8,168.55,-105.725,180.0,top
R9,169.325,-102.775,0.0,top
SW1,160.8,-118.3,90.0,top
U1,147.275,-114.65,180.0,top
U2,154.4375,-125.5,90.0,top
U3,180.15,-120.525,90.0,top
U4,170.695,-123.125,180.0,top
U5,161.975,-131.775,180.0,top
Y1,160.2,-94.975,180.0,top
Y2,148.7,-103.5,180.0,top
